GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
20-SpringBoot-Hello,com.cg.entity,Payment,35,3,0,0,15,1,10,1,10,1
20-SpringBoot-Hello,com.cg.entity,Order,16,50,0,0,8,20,4,15,4,15
20-SpringBoot-Hello,com.cg.entity,Customer,34,18,0,0,14,8,10,5,10,5
20-SpringBoot-Hello,com.cg.entity,MenuItem,27,25,0,0,13,9,7,8,7,8
20-SpringBoot-Hello,com.cg.entity,Restaurant,27,25,0,0,13,9,7,8,7,8
20-SpringBoot-Hello,com.cg.entity,DeliveryAgent,20,25,0,0,10,9,5,8,5,8
20-SpringBoot-Hello,com.cg.enumeration,TransactionStatus,0,9,0,0,0,2,0,1,0,1
20-SpringBoot-Hello,com.cg.enumeration,OrderStatus,0,33,0,0,0,6,0,1,0,1
20-SpringBoot-Hello,com.cg.enumeration,PaymentMethod,0,21,0,0,0,4,0,1,0,1
20-SpringBoot-Hello,com.cg.model,CartItem,23,9,0,0,7,4,5,1,5,1
20-SpringBoot-Hello,com.cg.service,DeliveryAgentService,51,35,0,0,7,8,4,6,4,6
20-SpringBoot-Hello,com.cg.service,CustomerService,43,37,1,1,8,8,5,3,4,3
20-SpringBoot-Hello,com.cg.service,MenuItemService,73,27,0,2,11,6,6,4,6,3
20-SpringBoot-Hello,com.cg.service,SearchService,26,3,0,0,4,1,2,1,2,1
20-SpringBoot-Hello,com.cg.service,RestaurantService,120,33,4,2,21,7,13,5,11,4
20-SpringBoot-Hello,com.cg.service,PaymentService,58,3,0,0,11,1,4,1,4,1
20-SpringBoot-Hello,com.cg.service,CartService,0,38,0,0,0,9,0,5,0,5
20-SpringBoot-Hello,com.cg.service,OrderService,362,128,34,9,76,28,31,7,10,5
20-SpringBoot-Hello,com.cg.dto,OrderDto,55,78,0,0,20,35,6,22,6,22
20-SpringBoot-Hello,com.cg.dto,PaymentDto,43,13,0,0,18,6,8,4,8,4
20-SpringBoot-Hello,com.cg.dto,MenuItemDto,24,42,0,0,9,19,2,12,2,12
20-SpringBoot-Hello,com.cg.dto,DeliveryAgentDto,24,42,0,0,9,19,2,12,2,12
20-SpringBoot-Hello,com.cg.dto,CustomerDto,12,64,0,0,6,26,3,13,3,13
20-SpringBoot-Hello,com.cg.dto,OrderDto.OrderItemDetail,51,0,0,0,21,0,9,0,9,0
20-SpringBoot-Hello,com.cg.dto,RestaurantDto,43,33,0,0,16,16,7,9,7,9
20-SpringBoot-Hello,com.cg.controller.user,UserSearchController,43,3,6,0,6,1,4,1,1,1
20-SpringBoot-Hello,com.cg.controller.user,UserDashboardController,9,3,0,0,2,1,1,1,1,1
20-SpringBoot-Hello,com.cg.controller.user,UserCartController,74,93,19,5,15,19,15,6,3,6
20-SpringBoot-Hello,com.cg.controller.user,UserPaymentController,0,17,0,0,0,5,0,2,0,2
20-SpringBoot-Hello,com.cg.controller.user,UserRestaurantController,0,61,0,2,0,16,0,5,0,4
20-SpringBoot-Hello,com.cg.controller.user,UserOrderController,152,31,8,1,34,7,7,4,2,4
20-SpringBoot-Hello,com.cg.controller.user,UserProfileController,0,57,0,0,0,15,0,4,0,4
20-SpringBoot-Hello,com.cg,FoodDeliveryApplication,5,3,0,0,2,1,1,1,1,1
20-SpringBoot-Hello,com.cg.controller.admin,AdminCustomerController,4,17,1,1,2,5,2,2,1,2
20-SpringBoot-Hello,com.cg.controller.admin,AdminRestaurantController,36,23,0,0,9,8,4,3,4,3
20-SpringBoot-Hello,com.cg.controller.admin,AdminOrderController,0,37,0,0,0,11,0,4,0,4
20-SpringBoot-Hello,com.cg.controller.admin,AdminDashboardController,2,3,0,0,1,1,1,1,1,1
20-SpringBoot-Hello,com.cg.controller.admin,AdminMenuItemController,49,52,0,0,13,15,2,5,2,5
20-SpringBoot-Hello,com.cg.controller.admin,AdminDeliveryAgentController,36,27,0,0,10,8,4,3,4,3
20-SpringBoot-Hello,com.cg.controller,AuthController,0,17,0,0,0,6,0,4,0,4
20-SpringBoot-Hello,com.cg.mapper,PaymentMapper,117,0,20,0,32,0,14,0,4,0
20-SpringBoot-Hello,com.cg.mapper,MenuItemMapper,95,34,18,2,26,9,13,1,3,1
20-SpringBoot-Hello,com.cg.mapper,RestaurantMapper,82,32,19,1,27,9,13,1,3,1
20-SpringBoot-Hello,com.cg.mapper,DeliveryAgentMapper,101,37,18,2,27,11,13,1,3,1
20-SpringBoot-Hello,com.cg.mapper,OrderMapper,179,68,39,5,41,21,25,1,3,1
20-SpringBoot-Hello,com.cg.mapper,CustomerMapper,118,0,14,0,34,0,11,0,4,0
20-SpringBoot-Hello,com.cg.exception,GlobalExceptionHandler,38,44,9,3,11,10,6,5,1,4
20-SpringBoot-Hello,com.cg.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
20-SpringBoot-Hello,com.cg.config,CustomUserDetailsService,32,6,0,0,5,3,2,1,2,1
20-SpringBoot-Hello,com.cg.config,CustomLoginSuccessHandler,16,3,2,0,7,1,2,1,1,1
20-SpringBoot-Hello,com.cg.config,SecurityConfig,0,124,0,0,0,29,0,8,0,8
